max_camber,camber_pos,thickness,reynolds,aoa,cl,cd
0.056,0.297,0.056,779819,8.4,1.3647,0.02019
0.048,0.678,0.128,372989,7.6,1.1938,0.01711
0.044,0.722,0.09,2835137,3.2,0.9472,0.00864
0.057,0.2,0.068,1055183,2.2,0.7875,0.01004
0.046,0.732,0.158,1234937,10.6,1.364,0.02004
0.046,0.717,0.112,2266261,-3.4,0.3916,0.00527
0.086,0.505,0.1,245879,6.7,1.6255,0.01593
0.072,0.264,0.173,4409224,5.4,1.2659,0.00857
0.095,0.635,0.099,3969219,1.2,1.4199,0.00477
0.027,0.317,0.092,2754719,-3.5,-0.0713,0.00617
0.011,0.193,0.058,2488839,9.0,1.0443,0.01583
0.069,0.275,0.184,151355,1.0,0.6919,0.01816
0.055,0.528,0.157,2104733,6.4,1.213,0.00965
0.01,0.622,0.194,3434144,1.5,0.237,0.0063
0.008,0.299,0.083,236754,10.5,0.8831,0.06031
0.012,0.123,0.091,3436951,-1.3,-0.0112,0.00611
0.081,0.153,0.119,3106724,1.4,0.9009,0.01016
0.048,0.465,0.131,2171134,1.2,0.692,0.00598
0.02,0.619,0.195,4984164,-1.4,0.0694,0.00588
0.016,0.306,0.126,2568543,5.1,0.7192,0.00672
0.073,0.734,0.141,1265822,-3.1,0.433,0.01661
0.047,0.275,0.196,4024653,2.9,0.6249,0.00736
0.091,0.455,0.161,824374,-4.3,0.5198,0.00938
0.096,0.421,0.102,683069,4.6,1.4498,0.01095
0.088,0.655,0.11,3123664,8.7,1.6281,0.02764
0.037,0.656,0.09,999385,7.0,1.1617,0.01396
0.07,0.284,0.132,2360549,6.1,1.3258,0.00899
0.035,0.63,0.135,3504922,-3.3,0.1639,0.005
0.028,0.657,0.055,1926950,5.7,0.9813,0.01207
0.024,0.747,0.093,2628769,-3.2,0.0868,0.00498
0.02,0.532,0.178,4330549,1.0,0.3256,0.0059
0.011,0.581,0.131,653586,-2.2,-0.0691,0.00687
0.038,0.425,0.065,1560066,-0.3,0.4205,0.00518
0.089,0.295,0.068,2801305,4.9,1.4343,0.00888
0.046,0.705,0.176,1475893,3.0,0.712,0.00901
0.008,0.51,0.152,1652381,1.0,0.1967,0.00596
0.015,0.778,0.091,2468262,-2.7,0.0003,0.00486
0.054,0.187,0.191,2118561,8.6,1.3005,0.01385
0.006,0.505,0.064,4305464,-3.1,-0.242,0.00522
0.007,0.516,0.105,2812063,-4.1,-0.3263,0.00606
0.002,0.353,0.124,3457618,7.5,0.8209,0.00856
0.038,0.551,0.157,310901,-0.4,0.4142,0.01074
0.077,0.274,0.106,4002651,11.5,1.7892,0.01729
0.064,0.526,0.158,2275215,-0.3,0.6917,0.00602
0.056,0.598,0.145,274067,10.9,1.3704,0.02934
0.011,0.158,0.145,1647531,1.5,0.2451,0.00596
0.034,0.606,0.083,3876633,6.4,1.1117,0.00936
0.002,0.549,0.084,1900757,6.4,0.7694,0.00913
0.077,0.429,0.187,4556313,4.1,1.0624,0.00853
0.044,0.297,0.136,748726,9.3,1.3502,0.01281
0.012,0.191,0.06,202315,5.0,0.6529,0.01387
0.03,0.35,0.144,1301141,3.3,0.6868,0.00679
0.041,0.38,0.196,2208414,-2.6,0.1268,0.0074
0.011,0.49,0.174,737121,1.4,0.2482,0.00743
0.027,0.109,0.086,2184570,6.5,0.9863,0.00842
0.02,0.539,0.193,4865839,5.9,0.6871,0.00757
0.064,0.158,0.054,2246962,5.6,1.2102,0.01025
0.051,0.171,0.116,2900038,9.8,1.5307,0.01045
0.059,0.789,0.051,2173156,3.5,1.2321,0.01478
0.013,0.499,0.153,2712097,-1.5,0.0079,0.00572
0.018,0.253,0.156,3459416,3.0,0.4731,0.00591
0.064,0.523,0.094,681645,4.9,1.2709,0.00832
0.091,0.275,0.078,2522478,7.9,1.7252,0.01014
0.037,0.768,0.142,4733932,1.3,0.6096,0.00628
0.01,0.632,0.144,340132,3.2,0.4795,0.00933
0.026,0.374,0.185,4193410,-4.8,-0.201,0.00687
0.093,0.231,0.084,4127303,11.4,1.9283,0.01685
0.083,0.312,0.08,3326170,1.3,1.008,0.00761
0.006,0.564,0.177,665277,2.0,0.2441,0.0078
0.045,0.329,0.125,3264942,2.4,0.7251,0.00576
0.087,0.476,0.187,831284,6.1,1.3691,0.01502
